State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Outlier Score
ANAMBRA,OYI,NTEJE  II,04-21-06-008,IRUIKE VILLAGE HALL,6.2680774,6.9205499,198,783,True,-1,False,False,False,False,UNKNOWN,0,172,10,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/06/pu/008/008-1677394228.pdf,71.3529411764706
ANAMBRA,NNEWI NORTH,UMUDIM  II,04-14-07-026,EZEMBA HALL IV,6.0136533,6.9101806,41,70,True,-1,False,False,False,False,UNKNOWN,0,36,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3185/ward/18468/pu/122029/122029-1677756342.pdf,71.35
ANAMBRA,ONITSHA -SOUTH,BRIDGE HEAD II,04-18-02-008,"UGBORIMILI PRIMARY SCHOOL, BLOCK A III.",6.1307134,6.7818585,34,60,True,-1,False,False,False,False,UNKNOWN,0,33,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18524/pu/122286/122286-1677635845.pdf,71.31081081081082
ANAMBRA,NNEWI NORTH,NNEWI-ICHI  I,04-14-01-028,OBIOFIA CENTRAL SCHOOL II,6.0136533,6.9101806,38,61,True,-1,False,False,False,False,UNKNOWN,0,36,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/01/pu/028/028-1677367130.pdf,71.2875
ANAMBRA,IDEMILI NORTH,OBOSI,04-10-07-069,URBAN SECRETARIATE AWADA,6.1254406,6.8083063,60,85,True,-1,False,False,False,False,UNKNOWN,1,58,0,0,https://docs.inecelectionresults.net/elections_prod/1292/121740-1677873900.pdf,71.22222222222221
ANAMBRA,EKWUSIGO,OZUBULU  II,04-09-07-008,URUOKWE CENTRAL SCHOOL III,5.9565942,6.8511814,183,791,True,-1,False,True,False,False,UNKNOWN,1,175,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10029/result_166805_1678035567_thumb.jpg,71.10526315789474
ANAMBRA,AWKA SOUTH,NIBO  III,04-07-16-013,EZI EKWUNIFE SQUARE (OPEN SPACE BESIDE EZI EKWUNIFE HALL),6.2181992,7.0531234,44,94,True,-1,False,False,False,False,UNKNOWN,0,40,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18369/pu/121601/121601-1677591974.pdf,71.0
ANAMBRA,NNEWI SOUTH,EKWULUMILI,04-15-07-017,EKWULU/UNUBI C/S II,5.9633689,7.0431229,61,246,True,-1,False,False,False,False,UNKNOWN,1,97,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/016/016-1677395269.pdf,71.0
ANAMBRA,ONITSHA -SOUTH,FEGGE I,04-18-04-017,"TOWNSHIP PRIMARY SCHOOL III , FRONT OF HEAD TEACHER'S OFFICE.",6.1363826,6.7761686,46,66,True,-1,False,False,False,False,UNKNOWN,0,45,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122298/122298-1677648156.pdf,70.99378881987579
ANAMBRA,AWKA NORTH,AMANSEA,04-06-04-001,EZIOGBO P/S,6.2212592,7.0827159,211,966,True,-1,False,False,False,False,UNKNOWN,1,196,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/04/pu/001/001-1677401490.pdf,70.9908256880734
